,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,lagoa,39.05,-27.9833,69.8,91,90,7.43,1627439623
1,ushuaia,-54.8,-68.3,38.86,93,90,4.61,1627439427
2,bhimunipatnam,17.8833,83.4333,83.71,63,100,10.0,1627439830
3,vaini,-21.2,-175.2,69.96,83,75,8.05,1627439618
4,saint george,37.1041,-113.5841,93.63,28,1,3.0,1627439830
5,avarua,-21.2078,-159.775,77.05,65,21,6.91,1627439660
6,puerto ayora,-0.7393,-90.3518,71.38,84,20,8.84,1627439632
7,rikitea,-23.1203,-134.9692,74.21,79,100,15.3,1627439614
8,zabol,32.25,67.25,83.32,22,100,7.25,1627439831
9,severo-kurilsk,50.6789,156.125,59.94,88,100,6.98,1627439704
10,khanpur,28.6453,70.6567,87.37,63,100,16.53,1627439832
11,hithadhoo,-0.6,73.0833,80.74,78,61,9.01,1627439616
12,terrak,65.087,12.3715,67.87,60,93,7.43,1627439833
13,pevek,69.7008,170.3133,38.44,86,97,9.69,1627439614
14,carnarvon,-24.8667,113.6333,66.27,54,90,8.05,1627439611
15,punta arenas,-53.15,-70.9167,44.71,81,75,20.71,1627439448
16,oskemen,49.9565,82.6119,60.76,67,0,2.24,1627439833
17,coahuayana,18.7333,-103.6833,78.55,92,100,1.48,1627439603
18,airai,-8.9266,125.4092,76.06,34,89,4.88,1627439653
19,sola,-13.8833,167.55,78.91,80,39,21.79,1627439834
20,port macquarie,-31.4333,152.9167,76.89,39,2,9.75,1627439834
21,vao,-22.6667,167.4833,68.31,62,32,15.64,1627439834
22,teluknaga,-6.0989,106.6381,90.18,58,60,5.01,1627439835
23,nome,64.5011,-165.4064,50.16,93,90,12.66,1627439835
24,hilo,19.7297,-155.09,80.33,83,90,11.5,1627439465
25,chatrapur,19.35,84.9833,85.03,68,100,8.16,1627439835
26,birjand,32.8663,59.2211,73.87,16,0,9.22,1627439774
27,nantucket,41.2835,-70.0995,73.54,85,18,13.67,1627439656
28,honiara,-9.4333,159.95,84.33,73,94,8.84,1627439836
29,kahului,20.8947,-156.47,85.26,76,40,23.02,1627439407
30,nikolskoye,59.7035,30.7861,67.8,68,100,4.79,1627439611
31,varnavino,57.4035,45.0916,55.27,65,11,1.77,1627439836
32,mar del plata,-38.0023,-57.5575,46.13,64,90,10.0,1627439503
33,forestville,38.8451,-76.875,80.67,79,1,4.61,1627439837
34,port elizabeth,-33.918,25.5701,57.49,82,0,16.11,1627439596
35,tacuarembo,-31.7333,-55.9833,37.31,69,4,8.72,1627439727
36,reinosa,42.9996,-4.138,54.36,97,46,3.69,1627439837
37,busselton,-33.65,115.3333,58.05,68,46,19.93,1627439609
38,bambous virieux,-20.3428,57.7575,68.22,94,75,16.11,1627439652
39,puerto maldonado,-12.6,-69.1833,69.78,91,43,2.77,1627439838
40,tuktoyaktuk,69.4541,-133.0374,53.6,71,75,5.75,1627439629
41,nalvo,16.8096,120.5108,79.03,88,100,6.04,1627439838
42,khatanga,71.9667,102.5,85.77,39,8,18.66,1627439597
43,kruisfontein,-34.0033,24.7314,52.88,86,26,12.77,1627439671
44,cape town,-33.9258,18.4232,52.21,87,20,1.01,1627439484
45,yellowknife,62.456,-114.3525,61.32,48,75,9.22,1627439406
46,richards bay,-28.783,32.0377,58.82,70,0,12.5,1627439839
47,tazovskiy,67.4667,78.7,46.47,78,97,6.62,1627439839
48,colmar,48.0833,7.3667,65.82,90,0,2.3,1627439839
49,bredasdorp,-34.5322,20.0403,52.92,66,100,8.05,1627439635
50,jamestown,42.097,-79.2353,69.12,82,1,3.8,1627439576
51,albany,42.6001,-73.9662,67.75,93,100,2.04,1627439353
52,lavrentiya,65.5833,-171.0,44.1,99,100,10.11,1627439651
53,torbay,47.6666,-52.7314,66.97,95,90,10.36,1627439607
54,mataura,-46.1927,168.8643,51.48,79,79,1.45,1627439620
55,milkovo,54.7167,158.6167,76.44,45,42,8.48,1627439590
56,butaritari,3.0707,172.7902,81.66,72,100,4.5,1627439840
57,hermanus,-34.4187,19.2345,51.91,66,99,12.21,1627439608
58,aksu,41.1231,80.2644,92.82,21,91,9.26,1627439841
59,atuona,-9.8,-139.0333,77.83,71,1,17.92,1627439608
60,hervey bay,-25.2986,152.8535,75.31,70,99,12.15,1627439633
61,beringovskiy,63.05,179.3167,48.49,87,100,19.35,1627439614
62,cherskiy,68.75,161.3,38.23,75,100,18.63,1627439627
63,saint-philippe,-21.3585,55.7679,65.79,88,89,12.86,1627439637
64,kodiak,57.79,-152.4072,62.11,55,90,4.61,1627439650
65,ilulissat,69.2167,-51.1,53.62,62,100,4.61,1627439634
66,consuegra,39.4625,-3.608,76.08,40,0,2.64,1627439841
67,barrow,71.2906,-156.7887,42.82,91,90,19.57,1627439584
68,kintinku,-5.8833,35.2333,59.31,57,5,2.59,1627439842
69,ribeira grande,38.5167,-28.7,72.01,85,55,8.61,1627439842
70,acaponeta,22.4964,-105.3594,79.21,91,85,0.27,1627439842
71,mahebourg,-20.4081,57.7,68.25,94,75,16.11,1627439598
72,lompoc,34.6391,-120.4579,73.54,81,90,12.66,1627439667
73,masuda,34.6667,131.85,84.47,74,20,6.91,1627439843
74,praia,14.9215,-23.5087,77.54,78,75,9.22,1627439767
75,komsomolskiy,40.4272,71.7189,83.12,34,2,2.3,1627439844
76,port augusta,-32.5,137.7667,62.74,41,15,19.44,1627439699
77,mitsamiouli,-11.3847,43.2844,75.42,68,2,8.03,1627439575
78,espanola,35.9911,-106.0806,76.86,62,79,6.04,1627439844
79,yatou,37.15,122.3833,85.46,59,100,7.92,1627439845
80,marawi,7.9986,124.2928,84.65,53,90,7.49,1627439845
81,lucea,18.451,-78.1736,80.46,80,100,4.61,1627439845
82,sakakah,29.9697,40.2064,83.77,27,0,5.86,1627439845
83,luderitz,-26.6481,15.1594,54.54,72,0,9.17,1627439616
84,new norfolk,-42.7826,147.0587,57.92,47,53,12.26,1627439622
85,kitami,43.8031,143.8908,92.66,44,6,10.96,1627439740
86,pechory,57.8164,27.6119,63.86,98,100,7.29,1627439846
87,trincomalee,8.5711,81.2335,83.39,73,100,20.33,1627439846
88,bairiki,1.3292,172.9752,86.0,70,75,6.91,1627439848
89,bluff,-46.6,168.3333,51.8,70,32,6.6,1627439615
90,borba,-4.3878,-59.5939,78.04,56,69,0.81,1627439848
91,kaitangata,-46.2817,169.8464,54.93,49,68,1.03,1627439629
92,sioux lookout,50.1001,-91.917,73.78,68,90,0.0,1627439610
93,jalu,29.0331,21.5482,79.41,44,0,5.44,1627439649
94,abbeyfeale,52.3814,-9.3025,56.59,96,55,5.91,1627439849
95,sheltozero,61.3667,35.3667,60.55,72,10,7.34,1627439849
96,hobart,-42.8794,147.3294,58.26,58,40,7.0,1627439606
97,namatanai,-3.6667,152.4333,84.83,67,25,4.99,1627439666
98,waingapu,-9.6567,120.2641,86.47,55,24,15.08,1627439850
99,saint-georges,12.0564,-61.7485,80.28,83,40,11.5,1627439673
100,tiznit,29.5833,-9.5,69.24,68,2,1.12,1627439672
101,viedma,-40.8135,-62.9967,43.45,71,88,16.62,1627439850
102,dikson,73.5069,80.5464,37.31,99,100,12.08,1627439612
103,mecca,21.4267,39.8261,80.37,81,99,4.34,1627439498
104,praia da vitoria,38.7333,-27.0667,72.75,94,75,7.16,1627439850
105,salym,60.0625,71.4789,55.65,73,24,7.27,1627439851
106,tigre,-34.426,-58.5796,47.25,64,20,16.11,1627439851
107,plaza de caisan,8.7333,-82.8167,70.95,98,100,0.4,1627439851
108,kapaa,22.0752,-159.319,85.98,75,75,3.0,1627439588
109,chimbote,-9.0853,-78.5783,65.26,87,80,9.19,1627439852
110,tuma,55.148,40.5537,64.29,71,10,1.83,1627439852
111,katsuura,35.1333,140.3,86.04,76,100,19.1,1627439696
112,sept-iles,50.2001,-66.3821,61.05,72,75,7.0,1627439697
113,saint-francois,46.4154,3.9054,63.48,99,90,3.44,1627439664
114,nicoya,10.1483,-85.452,74.75,92,100,2.71,1627439853
115,kokopo,-4.352,152.2633,83.57,69,90,4.54,1627439854
116,timizart,36.8,4.2667,76.57,49,0,5.61,1627439854
117,tateyama,34.9833,139.8667,86.99,77,100,20.29,1627439854
118,esperance,-33.8667,121.9,55.24,52,3,18.57,1627439748
119,matay,28.419,30.7792,76.87,55,0,12.84,1627439855
120,tahoua,14.8888,5.2692,77.45,77,100,10.56,1627439855
121,evensk,61.95,159.2333,61.07,46,76,18.01,1627439615
122,pundaguitan,6.3711,126.1689,84.67,75,48,15.77,1627439856
123,narsaq,60.9167,-46.05,46.62,73,100,3.94,1627439857
124,tabora,-5.0167,32.8,57.06,56,26,4.9,1627439857
125,muros,42.7762,-9.0603,64.99,83,17,8.48,1627439851
126,los llanos de aridane,28.6585,-17.9182,69.55,83,90,13.8,1627439646
127,chokurdakh,70.6333,147.9167,50.61,44,55,13.98,1627439591
128,saskylakh,71.9167,114.0833,66.76,38,16,19.46,1627439640
129,machaneng,-23.1862,27.4886,47.25,62,0,3.74,1627439858
130,sillod,20.3,75.65,75.15,79,100,15.57,1627439858
131,half moon bay,37.4636,-122.4286,82.58,69,20,8.05,1627439857
132,hailar,49.2,119.7,75.07,55,74,11.16,1627439858
133,adre,13.4667,22.2,71.55,87,100,3.67,1627439858
134,bereda,43.2686,-7.5406,61.92,100,93,3.65,1627439859
135,arraial do cabo,-22.9661,-42.0278,70.21,84,0,19.93,1627439622
136,isangel,-19.55,169.2667,74.55,57,2,14.52,1627439859
137,tiksi,71.6872,128.8694,41.74,80,15,14.43,1627439638
138,castro,-24.7911,-50.0119,46.02,91,100,7.02,1627439644
139,kabala,9.5833,-11.55,70.27,99,100,3.71,1627439860
140,cockburn town,21.4612,-71.1419,81.61,78,16,18.81,1627439639
141,mocuba,-16.8392,36.9856,59.83,96,99,2.8,1627439860
142,gwadar,25.1216,62.3254,82.06,87,86,9.31,1627439860
143,kashi,39.4547,75.9797,87.01,28,40,11.18,1627439861
144,miranda,3.2499,-76.2281,66.33,86,8,5.7,1627439861
145,nanortalik,60.1432,-45.2371,43.97,84,100,3.96,1627439861
146,zeya,53.75,127.2667,70.32,93,90,3.78,1627439587
147,esmeraldas,-19.7625,-44.3139,63.46,42,8,2.75,1627439862
148,dingle,10.9995,122.6711,87.33,65,76,17.45,1627439862
149,lata,40.1629,-8.3327,61.92,98,25,1.41,1627439362
150,codrington,-38.2667,141.9667,50.61,81,94,23.96,1627439858
151,lalin,42.7167,-8.1167,59.32,97,68,3.62,1627439863
152,yulara,-25.2406,130.9889,71.44,35,40,6.91,1627439863
153,chumikan,54.7183,135.315,78.4,50,63,1.61,1627439602
154,balkanabat,39.5108,54.3671,94.03,17,0,6.58,1627439863
155,buraydah,26.326,43.975,91.85,18,20,9.93,1627439661
156,clyde river,70.4692,-68.5914,43.03,87,90,6.91,1627439615
157,haysville,37.5645,-97.3523,88.27,65,1,8.05,1627439864
158,martapura,-3.4167,114.85,84.29,74,0,6.91,1627439719
159,bathsheba,13.2167,-59.5167,81.21,78,40,16.11,1627439651
160,namibe,-15.1961,12.1522,64.45,83,0,5.68,1627439673
161,petropavlovsk-kamchatskiy,53.0452,158.6483,79.39,44,20,11.18,1627439864
162,miri,4.4148,114.0089,86.14,79,40,6.91,1627439865
163,bar harbor,44.3876,-68.2039,66.02,81,90,5.99,1627439865
164,hasaki,35.7333,140.8333,88.29,79,100,21.63,1627439666
165,canon city,38.441,-105.2424,87.15,34,1,1.99,1627439865
166,srednekolymsk,67.45,153.6833,37.26,97,100,9.13,1627439645
167,matai,-8.3,31.5167,46.58,75,8,5.17,1627439866
168,miandrivazo,-19.5167,45.4667,61.5,42,0,5.32,1627439866
169,papillion,41.1544,-96.0422,87.93,75,1,1.99,1627439769
170,comodoro rivadavia,-45.8667,-67.5,37.26,75,0,2.3,1627439621
171,norman wells,65.282,-126.8329,66.24,59,75,12.66,1627439630
172,chuy,-33.6971,-53.4616,43.18,73,49,16.15,1627439814
173,faanui,-16.4833,-151.75,77.81,75,63,8.3,1627439626
174,hashtrud,37.4779,47.0508,67.55,55,78,8.55,1627439867
175,shimoda,34.6667,138.95,86.36,71,94,11.95,1627439867
176,lebu,-37.6167,-73.65,45.07,81,0,19.69,1627439626
177,beruwala,6.4788,79.9828,81.5,85,92,11.3,1627439868
178,boa vista,2.8197,-60.6733,78.78,89,90,4.61,1627439868
179,kendari,-3.945,122.4989,84.38,68,73,3.89,1627439868
180,russell,32.3502,-85.1999,76.51,88,20,0.0,1627439869
181,biak,-0.9131,122.8766,82.89,68,77,6.87,1627439659
182,port lincoln,-34.7333,135.8667,56.62,56,19,24.0,1627439405
183,tasiilaq,65.6145,-37.6368,37.56,79,22,7.31,1627439594
184,havelock,34.8791,-76.9013,82.94,91,69,5.79,1627439811
185,chernaya kholunitsa,58.8511,51.7154,50.77,72,44,8.72,1627439869
186,longyearbyen,78.2186,15.6401,42.64,93,75,10.36,1627439626
187,lorengau,-2.0226,147.2712,84.58,72,5,6.29,1627439869
188,port alfred,-33.5906,26.891,60.28,83,11,14.32,1627439642
189,palmer,42.1584,-72.3287,67.48,85,75,0.0,1627439623
190,barreirinhas,-2.7469,-42.8264,75.36,91,23,5.26,1627439870
191,elat,29.5581,34.9482,87.64,30,0,13.8,1627439870
192,mount gambier,-37.8333,140.7667,46.31,87,75,29.93,1627439819
193,dunda,-8.1167,34.25,51.62,64,2,3.42,1627439871
194,bluffton,32.2371,-80.8604,80.94,92,90,5.75,1627439739
195,cabo san lucas,22.8909,-109.9124,90.7,69,1,8.01,1627439400
196,matale,7.4721,80.6234,78.33,77,100,6.6,1627439871
197,champerico,14.3,-91.9167,83.35,76,12,2.39,1627439872
198,awjilah,29.1081,21.2869,78.89,47,0,5.68,1627439667
199,suez,29.9737,32.5263,74.5,72,0,8.41,1627439872
200,mandla,22.6,80.3833,73.02,96,100,7.2,1627439872
201,alofi,-19.0595,-169.9187,73.29,94,75,6.91,1627439873
